state,date,critical_staffing_shortage_today_yes,inpatient_beds,inpatient_beds_used,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,staffed_icu_adult_patients_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,deaths_covid
ID,2021/12/10,1,"3,415","2,485",29,0,82,306,3,"2,485","3,415",3
MT,2021/06/22,1,"2,915","1,876",20,0,20,57,0,"1,876","2,915",0
MO,2020/06/02,1,"20,505","11,781",,,,,,"11,765","20,148",6
KY,2020/03/18,1,870,193,,,,,,193,435,0
PA,2021/04/15,1,"33,373","27,410",371,2,580,"2,663",38,"27,410","33,373",24
SD,2020/09/30,1,"2,134","1,590",38,0,43,139,40,"1,343","2,134",1
NE,2021/04/05,1,"4,132","2,425",13,3,50,143,1,"2,425","4,132",0
ME,2020/05/10,1,"3,080","1,549",,,,,,"1,549","3,042",0
KY,2021/01/06,1,"14,820","9,350",424,0,421,"1,725",5,"9,350","14,820",32
WV,2022/01/22,1,"5,713","4,768",119,10,203,"1,087",17,"4,768","5,713",15
FL,2020/05/11,1,"34,074","19,753",,,,,,"19,750","32,951",37
ME,2021/09/05,1,"3,323","2,274",13,0,63,168,1,"2,274","3,323",2
MI,2020/12/11,1,"23,496","18,400",442,5,843,"3,530",17,"18,400","23,496",59
WY,2020/09/20,1,"1,579",571,7,0,5,17,0,571,"1,579",1
UT,2021/09/12,1,"6,268","3,845",61,5,212,532,1,"3,845","6,268",1
WY,2020/12/06,1,"1,654",810,35,0,42,208,1,810,"1,654",1
SD,2021/05/10,1,"2,571","1,313",6,0,19,57,1,"1,313","2,571",0
DC,2021/05/13,1,"3,476","2,706",11,0,31,95,9,"2,706","3,476",0
PR,2021/03/08,1,"9,412","5,534",8,0,13,94,0,"5,534","9,412",58
NJ,2020/08/22,1,"18,390","13,392",30,2,38,154,2,"12,898","18,390",13
CT,2020/08/05,1,"8,114","5,879",20,0,10,67,2,"5,879","8,114",0
